sub-category,sales,profit,quantity,orders,profit_margin
Tables,208020.182,-17753.206100000007,1261,314,-8.534367160586372
Bookcases,115361.2043,-3632.073600000003,878,228,-3.1484359252653906
Supplies,46725.498,-1171.394500000001,653,189,-2.5069706052143115
Fasteners,8532.24,2428.6358,980,226,28.464222759791095
Machines,189925.03100000002,3461.9768999999887,442,114,1.8228123390433928
Labels,12695.042,5572.778,1410,348,43.89727895346861
Art,27659.014,6653.196199999999,3092,756,24.05435059977192
Envelopes,16528.362,6988.024699999999,914,251,42.278991106317726
Furnishings,95598.126,13891.742999999999,3799,919,14.531396776543504
Appliances,108213.185,18329.484399999994,1750,459,16.938309689341455
Storage,224644.554,21285.111499999995,3191,787,9.475017809690591
Chairs,335768.249,27223.53229999999,2431,591,8.107834013811113
Binders,207354.881,31426.100299999995,6071,1339,15.155708005735343
Paper,79540.538,34511.507,5207,1205,43.38857627540814
Accessories,167380.318,41936.6357,2976,718,25.054699501765793
Phones,331842.64,45050.826499999996,3357,826,13.575960732472472
Copiers,150745.29,56093.936499999996,242,70,37.21107074058499
